,Name,Sale Price,Discount,Rating,Number of Reviews,URL
22,"【2025 New】Elder 4K Security Camera System Spotlight, 4-Camera DVR Surveillance Kit Outdoor DIY Wired 1TB Audio Color Night Vision, Home Security Camera System",314.99,304.01,,0,https://www.bestbuy.ca/en-ca/product/2025-new-elder-4k-security-camera-system-spotlight-4-camera-dvr-surveillance-kit-outdoor-diy-wired-1tb-audio-color-night-vision-home-security-camera-system/15723632
23,Arlo Essential Wire-Free Indoor/Outdoor 2K Security Camera (2nd Generation) - White,129.97,0,,0,https://www.bestbuy.ca/en-ca/product/arlo-essential-wire-free-indoor-outdoor-2k-security-camera-2nd-generation-white/17278926
24,Google Nest Cam Wire-Free Indoor/Outdoor Security Camera - White,239.99,0,,0,https://www.bestbuy.ca/en-ca/product/google-nest-cam-wire-free-indoor-outdoor-security-camera-white/15621548
25,Blink Outdoor 4 Wire-Free 1080p Full HD IP Security Camera System with Sync Module Core - 5 Pack,429.99,0,,0,https://www.bestbuy.ca/en-ca/product/blink-outdoor-4-wire-free-1080p-full-hd-ip-security-camera-system-with-sync-module-core-5-pack/19333144
26,"【2025 New】Elder 4K Security Camera System Spotlight, 8-Camera 8Ch DVR Surveillance Kit Outdoor DIY Wired 2TB Audio Color Night Vision, Home Security Camera System",528.97,430.03,,0,https://www.bestbuy.ca/en-ca/product/2025-new-elder-4k-security-camera-system-spotlight-8-camera-8ch-dvr-surveillance-kit-outdoor-diy-wired-2tb-audio-color-night-vision-home-security-camera-system/16663677
27,1080P HD IP Camera Smart WiFi Home Security Camera Surveilance Camera with PIR Motion Detection Home Security,53.8,21.200000000000003,,0,https://www.bestbuy.ca/en-ca/product/1080p-hd-ip-camera-smart-wifi-home-security-camera-surveilance-camera-with-pir-motion-detection-home-security/15748186
28,Open Box - eufy SoloCam S340 Solar Security Camera Bundle,259.99,0,,0,https://www.bestbuy.ca/en-ca/product/open-box-eufy-solocam-s340-solar-security-camera-bundle/19350806
29,Alarm.com 1080P HD Indoor/Outdoor Dome Security Camera ADC-VC826,249,0,,0,https://www.bestbuy.ca/en-ca/product/alarm-com-1080p-hd-indoor-outdoor-dome-security-camera-adc-vc826/17716856
30,Defender AI POWERED 4K Everwatch PTZ 360° Wi-Fi Plug-in Power Security Camera with 64GB SD Card - 3 Pack,149.99,380,,0,https://www.bestbuy.ca/en-ca/product/defender-ai-powered-4k-everwatch-ptz-360-wi-fi-plug-in-power-security-camera-with-64gb-sd-card-3-pack/18929121
31,Light Bulb Camera WiFi Night Vision Security Point Surveillance Camera HD Camera (without memory card),31.99,0,,0,https://www.bestbuy.ca/en-ca/product/light-bulb-camera-wifi-night-vision-security-point-surveillance-camera-hd-camera-without-memory-card/19292244
